T[s];NS[cm/s2];EO[cm/s2];V[cm/s2]
1.485;-0.009727921;-0.003533274;0.018779227
1.49;-0.003170334;-0.003773221;0.011850246
1.495;0.000907115;-0.002426087;0.00389365
1.5;0.002221262;-0.000138305;-0.003172122
1.505;0.003619642;-0.000235317;-0.008332302
1.51;0.005291945;-0.000918599;-0.011325317
1.515;0.005669205;0.00075527;-0.012832637
1.52;0.005745303;0.003773732;-0.013058652
1.525;0.006851092;0.00563944;-0.011167267
1.53;0.007103325;0.006631538;-0.00711734
1.535;0.004991144;0.008685369;-0.001894476
1.54;0.00177199;0.009325153;0.003906637
1.545;-0.001628847;0.005907442;0.009320403
1.55;-0.004906038;0.002701072;0.01194511
1.555;-0.007103318;0.000496774;0.009825011
1.56;-0.007441892;-0.005692773;0.003777321
1.565;-0.006198169;-0.011493725;-0.002714678
1.57;-0.004093918;-0.010214468;-0.005479028
1.575;-0.001118693;-0.006398954;-0.002401469
1.58;0.002463875;-0.002232583;0.00438331
1.585;0.004204172;0.005443294;0.009723951
1.59;0.001636112;0.011448488;0.010194963
1.595;-0.002813591;0.012066049;0.006511171
1.6;-0.004094025;0.012051127;0.000853354
1.605;-0.001854733;0.009461896;-0.005303623
1.61;0.000984565;0.000673134;-0.009888732
1.615;0.004232149;-0.006685185;-0.010353146
1.62;0.008282021;-0.006973173;-0.006564066
1.625;0.01021167;-0.002809867;-0.001107812
1.63;0.008163545;0.0043879;0.003317149
1.635;0.005110635;0.01018467;0.005136925
1.64;0.003312937;0.007506175;0.004218181
1.645;0.00056672;-0.0004969;0.002259422
1.65;-0.004342818;-0.006066096;0.001396235
1.655;-0.008737206;-0.008162883;0.002295506
1.66;-0.010933693;-0.006969482;0.004179134
1.665;-0.011948871;-0.001716129;0.005598662
1.67;-0.010900065;0.004802911;0.005223916
1.675;-0.005184355;0.008839271;0.003109026
1.68;0.003490307;0.008614316;0.000536899
1.685;0.01010059;0.005987207;-0.001818487
1.69;0.012723999;0.005334474;-0.004345715
1.695;0.01165599;0.005552519;-0.007268815
1.7;0.006596282;0.00346753;-0.009875342
1.705;0.000659665;0.002371203;-0.010840351
1.71;-0.000809152;0.001459921;-0.009582083
1.715;0.001016108;-0.005413151;-0.00717473
1.72;0.000825522;-0.012415051;-0.004748489
1.725;-0.001704576;-0.010961838;-0.001804567
1.73;-0.003813047;-0.006011751;0.002225461
1.735;-0.005234878;-0.000256838;0.006132053
1.74;-0.00617407;0.008823996;0.007984789
1.745;-0.004200256;0.012640452;0.006931916
1.75;0.002109608;0.00699166;0.003689585
1.755;0.009430453;0.00298649;-0.000285892
1.76;0.013295594;0.002964407;-0.004066369
1.765;0.01240875;0.000943616;-0.00744952
1.77;0.007839141;0.00012169;-0.010433826
1.775;0.001377369;0.00162441;-0.012773013
1.78;-0.003821553;0.000848387;-0.013519002
1.785;-0.004797999;0.000083479;-0.01153541
1.79;-0.003168075;0.001954118;-0.006302948
1.795;-0.002487732;0.00362418;0.00235686
1.8;-0.002402331;0.004172596;0.013349737
1.805;-0.002201483;0.004381612;0.022532509
1.81;-0.003770771;0.00426268;0.024825416
1.815;-0.006304299;0.002352508;0.018755678
1.82;-0.005869464;-0.003456739;0.007382221
1.825;-0.001764561;-0.008327484;-0.00449523
1.83;0.002388011;-0.005880419;-0.013232521
1.835;0.00406374;-0.001213265;-0.017555984
1.84;0.004337807;0.00084803;-0.017767248
1.845;0.004714955;0.005364752;-0.014759172
1.85;0.004198991;0.011174887;-0.009974332
1.855;0.001825232;0.010644154;-0.004394383
1.86;-0.000680492;0.005562832;0.00232928
1.865;-0.003014165;0.001525226;0.009888598
1.87;-0.007010451;-0.000755189;0.015852251
1.875;-0.011198508;-0.00087496;0.017856443
1.88;-0.012053217;-0.000629952;0.015588344
1.885;-0.00860539;-0.003132443;0.010153836
1.89;-0.001982788;-0.004671909;0.003240122
1.895;0.005926777;-0.002285196;-0.00336384
1.9;0.011690478;-0.000403728;-0.008401016
1.905;0.012092504;0.000569138;-0.011158111
1.91;0.008405263;0.003458006;-0.01148352
1.915;0.004129405;0.004504816;-0.010166131
1.92;0.000348777;0.001876213;-0.008233825
1.925;-0.002185855;-0.000310845;-0.005638888
1.93;-0.001845775;-0.00181852;-0.001466162
1.935;0.000819439;-0.003263093;0.004363065
1.94;0.002206989;-0.000422567;0.010046479
1.945;0.000260692;0.007648437;0.012854069
1.95;-0.001928856;0.013470097;0.010906994
1.955;-0.002225216;0.008915581;0.004306462
1.96;-0.002516478;-0.003593327;-0.004184979
1.965;-0.001783234;-0.014188148;-0.009923445
1.97;0.002790303;-0.019552984;-0.009752437
1.975;0.008201032;-0.019721725;-0.004516779
1.98;0.009224585;-0.010645095;0.002020792
1.985;0.006211549;0.003568875;0.005535781
1.99;0.00200103;0.011593352;0.003675114
1.995;-0.003406459;0.013625543;-0.001639033
2;-0.009079993;0.015895668;-0.005703155
