T[s];NS[cm/s2];EO[cm/s2];V[cm/s2]
1.175;-0.001806068;-0.001651489;0.000427394
1.18;-0.000277613;-0.001759585;-0.000689629
1.185;0.001316401;-0.001129522;-0.000835198
1.19;0.00199502;-0.000220152;0.00007118
1.195;0.001510841;0.000218022;0.001037557
1.2;0.000277814;0.000090127;0.001156762
1.205;-0.000902203;-0.00004112;0.000467947
1.21;-0.001123288;0.000162611;-0.000275491
1.215;-0.000389365;0.000714733;-0.000343704
1.22;0.00065383;0.001353232;0.000331056
1.225;0.001398369;0.001532527;0.00113609
1.23;0.001188458;0.001155375;0.00149727
1.235;0.000362164;0.000787988;0.001495158
1.24;0.000185561;0.001051057;0.001706738
1.245;0.000808134;0.002182814;0.002498901
1.25;0.001432517;0.003493978;0.003388069
1.255;0.001559528;0.003715818;0.003390081
1.26;0.000959226;0.002454353;0.002151636
1.265;0.000090202;0.000371278;0.000250005
1.27;-0.000314943;-0.001580417;-0.001454718
1.275;-0.000448314;-0.002541457;-0.002360212
1.28;-0.000669017;-0.002342661;-0.00242861
1.285;-0.000935463;-0.001546599;-0.002116311
1.29;-0.001232795;-0.000652999;-0.001851555
1.295;-0.001290341;0.000091289;-0.001741827
1.3;-0.00104744;0.000442744;-0.001672895
1.305;-0.000875681;0.000189355;-0.001476455
1.31;-0.000757303;-0.000590591;-0.001065239
1.315;-0.000747924;-0.001387305;-0.000470617
1.32;-0.001050225;-0.001787674;0.000100745
1.325;-0.001343476;-0.001833656;0.000269702
1.33;-0.001529671;-0.001603678;-0.000231663
1.335;-0.001639116;-0.001169062;-0.001283926
1.34;-0.001244166;-0.000722755;-0.002353443
1.345;-0.000477486;-0.000306178;-0.002758583
1.35;0.000090339;0.000013186;-0.002239374
1.355;0.000281388;-0.000046147;-0.001299949
1.36;-0.000202995;-0.000527587;-0.000802493
1.365;-0.001412013;-0.001146474;-0.001156464
1.37;-0.002747353;-0.001742465;-0.002021229
1.375;-0.003952686;-0.002473531;-0.00289008
1.38;-0.004935933;-0.00345685;-0.003601963
1.385;-0.005285493;-0.004203936;-0.004081303
1.39;-0.004884754;-0.003981745;-0.004132064
1.395;-0.003912579;-0.002847825;-0.003647344
1.4;-0.002807693;-0.001486052;-0.002653194
1.405;-0.002094647;-0.000383463;-0.001355517
1.41;-0.001590744;0.000185587;-0.000270246
1.415;-0.001126564;0.00007585;0.000039756
1.42;-0.001021471;-0.000690592;-0.000617283
1.425;-0.001006003;-0.001919181;-0.001824195
1.43;-0.000704297;-0.002886264;-0.00260712
1.435;-0.000193709;-0.002661906;-0.002130948
1.44;0.000594893;-0.001126491;-0.000487797
1.445;0.001253004;0.000978593;0.001433438
1.45;0.00117249;0.002681335;0.002671214
1.455;0.000739225;0.003262121;0.002729755
1.46;0.00038761;0.002670395;0.001778902
1.465;0.000047879;0.001404428;0.000443955
1.47;-0.000291827;0.00006504;-0.000620759
1.475;-0.000815876;-0.000796596;-0.000967498
1.48;-0.001456226;-0.000943247;-0.000476158
1.485;-0.001796026;-0.000592179;0.000577019
1.49;-0.001811466;-0.000078675;0.001665724
1.495;-0.001265711;0.000287267;0.002235264
1.5;0.000009009;0.000285227;0.001938155
1.505;0.001014761;-0.00009529;0.00087781
1.51;0.000958037;-0.0007902;-0.000381294
1.515;0.000101006;-0.001472807;-0.001098959
1.52;-0.001141167;-0.001541155;-0.000904605
1.525;-0.002063764;-0.000883102;-0.000174655
1.53;-0.002158254;-0.000039013;0.000339237
1.535;-0.001855738;0.000358535;0.000169406
1.54;-0.00143827;0.000032054;-0.000577525
1.545;-0.000851598;-0.000591162;-0.00137231
1.55;-0.000375277;-0.000847814;-0.001772157
1.555;-0.000325192;-0.000713278;-0.001749004
1.56;-0.000940391;-0.000517364;-0.001474927
1.565;-0.001926261;-0.000330984;-0.001060765
1.57;-0.002374169;-0.000137904;-0.000636515
1.575;-0.002031687;-0.000057747;-0.000463902
1.58;-0.001181969;-0.000219867;-0.000707857
1.585;0.000019059;-0.000497789;-0.001096465
1.59;0.000922739;-0.000518885;-0.001032432
1.595;0.000914211;-0.000058725;-0.000104278
1.6;0.000296364;0.000885053;0.001542836
1.605;-0.000459161;0.002029598;0.003079598
1.61;-0.001122663;0.002538011;0.003326908
1.615;-0.001469037;0.001730647;0.001796752
1.62;-0.001471829;0.000009375;-0.000725178
1.625;-0.001278626;-0.001720484;-0.002998231
1.63;-0.001172874;-0.003009543;-0.004323308
1.635;-0.001622675;-0.003729092;-0.004611039
1.64;-0.002773454;-0.003721561;-0.004088744
1.645;-0.004252904;-0.003109396;-0.003173515
1.65;-0.005539245;-0.002458554;-0.002337101
1.655;-0.005933877;-0.002152805;-0.001845108
1.66;-0.00478885;-0.001925052;-0.001567698
1.665;-0.002351586;-0.001416507;-0.001212737
1.67;0.000231978;-0.000717045;-0.000731909
1.675;0.001845564;0.000057112;-0.000234197
1.68;0.002058597;0.000992443;0.000311837
1.685;0.001188127;0.001806409;0.000922772
1.69;-0.000102522;0.001857959;0.001338974
1.695;-0.001070957;0.000999999;0.001196054
1.7;-0.001024776;-0.000258216;0.000344871
1.705;-0.000133929;-0.00138795;-0.001013655
1.71;0.000508143;-0.002066606;-0.002292481
1.715;0.00038413;-0.002127151;-0.00271126
1.72;-0.000209609;-0.001714352;-0.001901871
1.725;-0.001084516;-0.001106993;-0.000336659
1.73;-0.001772008;-0.000386786;0.001080594
1.735;-0.00160805;0.000346262;0.001749048
1.74;-0.000850047;0.000756598;0.001562377
1.745;-0.000132476;0.00059861;0.000649116
1.75;0.000410752;0.00011341;-0.000682813
1.755;0.000647845;-0.000110937;-0.001813406
1.76;0.000476998;0.000202164;-0.002071397
1.765;0.000160912;0.000791579;-0.001240604
1.77;-0.000091362;0.001237969;0.000222525
1.775;-0.000186743;0.001173037;0.001398326
1.78;-0.000083133;0.000574695;0.00156781
1.785;0.000082857;-0.000112035;0.00075436
1.79;0.000220562;-0.000582816;-0.000452967
1.795;0.000154723;-0.000724037;-0.001257195
1.8;-0.000279576;-0.000235814;-0.000958923
1.805;-0.000751419;0.000781553;0.000457818
1.81;-0.001155485;0.001533019;0.002086448
1.815;-0.001673646;0.001358806;0.002747639
1.82;-0.001735986;0.000355219;0.001909352
1.825;-0.001117299;-0.000781795;0.000093215
1.83;-0.000765839;-0.001524739;-0.001602733
1.835;-0.001184194;-0.00190861;-0.002421433
1.84;-0.002117472;-0.00194952;-0.002358099
1.845;-0.00322356;-0.001579258;-0.001884037
1.85;-0.003945439;-0.001100042;-0.001416962
1.855;-0.004042587;-0.0009289;-0.001041621
1.86;-0.003666289;-0.001309323;-0.000719358
1.865;-0.002903094;-0.002127675;-0.000511581
1.87;-0.002054414;-0.002723537;-0.000496869
1.875;-0.001227064;-0.002520587;-0.000601987
1.88;-0.000430715;-0.001637422;-0.000595169
1.885;-0.000380127;-0.000730055;-0.000419223
1.89;-0.00139635;-0.000563858;-0.000397329
1.895;-0.002822432;-0.001292109;-0.00084548
1.9;-0.00386373;-0.002302568;-0.001701741
1.905;-0.003592235;-0.002891864;-0.002574036
1.91;-0.001782974;-0.002530672;-0.002925265
1.915;0.000330776;-0.001159187;-0.002373035
1.92;0.001369989;0.000525766;-0.000948774
1.925;0.00076628;0.001766059;0.000867433
1.93;-0.000958589;0.002165617;0.00219436
1.935;-0.002482214;0.001514991;0.002208742
1.94;-0.002988904;0.00005629;0.000903244
1.945;-0.002408264;-0.001513589;-0.000930045
1.95;-0.001198849;-0.002506152;-0.002400239
1.955;-0.000328124;-0.002576924;-0.002973269
1.96;-0.000227909;-0.001895462;-0.002608871
1.965;-0.000641434;-0.000839761;-0.001643728
1.97;-0.001226223;0.000205893;-0.00047405
1.975;-0.001392973;0.000697679;0.000593682
1.98;-0.000839113;0.000448785;0.001274734
1.985;0.000191384;-0.000106507;0.001281674
1.99;0.001313136;-0.000650783;0.000521797
1.995;0.001661361;-0.001187853;-0.00072959
2;0.000649598;-0.001646601;-0.001987341
2.005;-0.001177508;-0.001841561;-0.0027504
2.01;-0.003139633;-0.001737865;-0.002677577
2.015;-0.004608103;-0.001664691;-0.001954345
2.02;-0.004902498;-0.001963476;-0.001266396
2.025;-0.004091046;-0.002565523;-0.001117832
2.03;-0.002674338;-0.003105498;-0.001344632
2.035;-0.001259899;-0.002931841;-0.001356025
2.04;-0.000496018;-0.001604601;-0.000773554
2.045;-0.00043769;0.00013521;0.000192247
2.05;-0.000991474;0.001094861;0.001049144
2.055;-0.001786679;0.001072491;0.001556517
2.06;-0.001740781;0.000506881;0.001803027
2.065;-0.000821923;-0.000367564;0.00196698
2.07;0.00004698;-0.001276862;0.002142624
2.075;0.00071951;-0.001586312;0.002235673
2.08;0.000850926;-0.001008774;0.001933136
2.085;-0.000233465;-0.000325886;0.000975938
2.09;-0.00205017;-0.000323067;-0.000325637
2.095;-0.003421817;-0.000641596;-0.001157239
2.1;-0.003504738;-0.000808288;-0.001075336
2.105;-0.002462977;-0.000999104;-0.000436963
2.11;-0.001239777;-0.00126574;0.00007209
2.115;-0.000181395;-0.001489738;-0.000053409
2.12;0.000453756;-0.001723923;-0.000826838
2.125;0.000003725;-0.001907594;-0.001692043
2.13;-0.001100694;-0.00197158;-0.001941609
2.135;-0.002070054;-0.002109684;-0.00127033
2.14;-0.002930657;-0.00253213;-0.000010431
2.145;-0.003178679;-0.002974021;0.001124807
2.15;-0.002180219;-0.002627369;0.001635298
2.155;-0.000536687;-0.001215777;0.001505367
2.16;0.000772328;0.000368533;0.00101996
2.165;0.000998315;0.001299994;0.000553932
2.17;-0.000091302;0.001558401;0.000392765
2.175;-0.001700702;0.001286832;0.000611137
2.18;-0.002746144;0.000716212;0.000983103
2.185;-0.00238569;0.000284399;0.000968962
2.19;-0.000589748;0.000145979;0.000198073
2.195;0.001024565;0.000000218;-0.000975947
2.2;0.001047161;-0.000463164;-0.001728814
2.205;-0.000005551;-0.001018253;-0.001504518
2.21;-0.001187495;-0.001120839;-0.000429811
2.215;-0.001977302;-0.000688395;0.000853356
2.22;-0.002022364;-0.000030997;0.00166268
2.225;-0.001677696;0.000516376;0.001580342
2.23;-0.001547832;0.000503919;0.000646514
2.235;-0.00163762;-0.000092482;-0.000553808
2.24;-0.001725928;-0.000508211;-0.001406614
2.245;-0.00166446;-0.00032013;-0.001824828
2.25;-0.001495275;-0.000065344;-0.001967714
2.255;-0.001416818;-0.0001914;-0.001848563
2.26;-0.001221371;-0.000524486;-0.001513288
2.265;-0.00081864;-0.000944274;-0.0011561
2.27;-0.000792148;-0.001548396;-0.000822688
2.275;-0.001225717;-0.002176515;-0.00034125
2.28;-0.00162111;-0.002453993;0.000278313
2.285;-0.001915212;-0.002223886;0.000771033
2.29;-0.00204168;-0.001605848;0.00105479
2.295;-0.001784383;-0.000785985;0.001287002
2.3;-0.001241471;-0.00012072;0.001405467
2.305;-0.000491676;-0.000037203;0.00110035
2.31;0.000395075;-0.000197653;0.000407033
2.315;0.001282037;0.000265367;-0.000205568
2.32;0.001963398;0.001201158;-0.00047409
2.325;0.001722993;0.001627313;-0.000461632
2.33;0.00031295;0.001211395;-0.000115818
2.335;-0.001151786;0.000242051;0.00065076
2.34;-0.001790021;-0.000988852;0.00147909
2.345;-0.001659876;-0.002150345;0.001568213
2.35;-0.000870212;-0.00279704;0.000403946
2.355;0.000006871;-0.002545884;-0.001535248
2.36;0.000074654;-0.001625579;-0.003058585
2.365;-0.000652271;-0.000812834;-0.003228907
2.37;-0.001551674;-0.000392552;-0.001952091
2.375;-0.00200038;-0.000154965;0.000019516
2.38;-0.001671278;-0.000160432;0.001494679
2.385;-0.000998219;-0.000472636;0.001714945
2.39;-0.000284886;-0.000892399;0.000961633
2.395;0.000515282;-0.001138159;0.000099149
2.4;0.000879827;-0.000755552;-0.000238191
2.405;0.000698018;0.000431618;0.000022854
2.41;0.000466069;0.00186117;0.000549056
2.415;-0.000015463;0.002732824;0.001071805
2.42;-0.000750958;0.002516034;0.00161187
2.425;-0.001178915;0.00132574;0.002197643
2.43;-0.001324271;-0.000030291;0.002592159
2.435;-0.001158502;-0.000830735;0.002365254
2.44;-0.000521812;-0.00076068;0.001354621
2.445;0.00002157;0.000194355;0.000048844
2.45;0.000114801;0.001445887;-0.000743519
2.455;-0.000090646;0.002223749;-0.000530567
2.46;-0.000384565;0.002306206;0.00052233
2.465;-0.000236724;0.001875325;0.001647679
2.47;0.000372507;0.001339123;0.002046291
2.475;0.000896134;0.0010532;0.001509589
2.48;0.001281233;0.000970419;0.000486166
2.485;0.001329457;0.001104564;-0.000252897
2.49;0.000830312;0.001564565;-0.000132396
2.495;0.000187115;0.001967933;0.000818542
2.5;-0.000719239;0.001730199;0.001996835
2.505;-0.001894607;0.000602892;0.002501388
2.51;-0.002398355;-0.001018236;0.001668709
2.515;-0.002071136;-0.002153788;-0.000242714
2.52;-0.001446629;-0.002359346;-0.002137969
2.525;-0.000780866;-0.002140391;-0.003013703
2.53;-0.000662841;-0.00201099;-0.002740704
2.535;-0.001377132;-0.002248304;-0.002084018
2.54;-0.002586168;-0.002880944;-0.001835721
2.545;-0.004009205;-0.003363829;-0.001934757
2.55;-0.004781931;-0.003119281;-0.001683201
2.555;-0.004222823;-0.002155572;-0.00063315
2.56;-0.003086885;-0.001050371;0.000775336
2.565;-0.002209196;-0.000541095;0.001459772
2.57;-0.001865244;-0.000712475;0.000854206
2.575;-0.001992187;-0.001114485;-0.000480653
2.58;-0.001906341;-0.00148454;-0.001474805
2.585;-0.001434231;-0.001457763;-0.001334587
2.59;-0.000983621;-0.000853683;-0.000098685
2.595;-0.000426877;-0.000399952;0.001282344
2.6;0.000098193;-0.000657861;0.001768394
2.605;0.000338241;-0.001194536;0.001082472
2.61;0.000532243;-0.001487346;-0.000209783
2.615;0.000149949;-0.001574608;-0.0012549
2.62;-0.001186219;-0.001835972;-0.001641106
2.625;-0.002475601;-0.002319579;-0.001591418
2.63;-0.003129475;-0.002518869;-0.001569838
2.635;-0.003109958;-0.002106865;-0.001766407
2.64;-0.002237759;-0.001190233;-0.001884034
2.645;-0.001105941;-0.000085103;-0.001577784
2.65;-0.000331798;0.000662163;-0.000888375
2.655;0.000046321;0.000878226;-0.000022669
2.66;-0.000022515;0.001038384;0.000827873
2.665;-0.000117765;0.001246692;0.001301836
2.67;-0.000150863;0.001081181;0.001040103
2.675;-0.000699099;0.000500325;0.000212401
2.68;-0.001293942;-0.000135684;-0.000448494
2.685;-0.001459867;-0.000460185;-0.000240689
2.69;-0.001634345;-0.000420638;0.00081754
2.695;-0.001528102;-0.000449764;0.001910904
2.7;-0.001018176;-0.000728454;0.002274275
2.705;-0.000799922;-0.000878561;0.001931023
2.71;-0.000765266;-0.000688964;0.001420689
2.715;-0.000718105;-0.000278445;0.001091696
2.72;-0.000867539;0.000131236;0.00081381
2.725;-0.000934053;0.000341646;0.000285472
2.73;-0.001034604;0.000312093;-0.00056427
2.735;-0.001497474;-0.000029468;-0.001442714
2.74;-0.001895444;-0.000566658;-0.001802847
2.745;-0.001804062;-0.000721587;-0.001288854
2.75;-0.000937551;-0.000279269;-0.00016581
2.755;0.000415233;0.000321553;0.000875746
2.76;0.001095551;0.000712418;0.001269222
2.765;0.000972064;0.000694042;0.000864802
2.77;0.000600564;0.000322262;0.000010516
2.775;-0.000176787;0.000004291;-0.000567738
2.78;-0.000892139;-0.000137758;-0.000327376
2.785;-0.000949911;-0.000158281;0.000604797
2.79;-0.000777237;0.000192044;0.001564668
2.795;-0.00042038;0.000973113;0.001854155
2.8;0.000045696;0.001794907;0.001236034
2.805;-0.000020196;0.002106332;0.000035133
2.81;-0.000418391;0.001559012;-0.001122866
2.815;-0.000684331;0.000478292;-0.001557326
2.82;-0.000689497;-0.000451424;-0.000897736
2.825;-0.000328435;-0.000901774;0.000549713
2.83;-0.000210729;-0.000954261;0.001949427
2.835;-0.00069978;-0.000920477;0.002464303
2.84;-0.001191821;-0.000919663;0.001746825
2.845;-0.001489349;-0.000743631;0.000126267
2.85;-0.001588478;-0.000588742;-0.001619301
2.855;-0.001538252;-0.000865938;-0.002700498
2.86;-0.001866623;-0.001260574;-0.002743054
2.865;-0.002260896;-0.001208787;-0.002003947
2.87;-0.002104278;-0.000734552;-0.001123241
2.875;-0.001682718;-0.00018164;-0.00055409
2.88;-0.000913807;0.00022499;-0.000320154
2.885;0.000194717;0.000332554;-0.00033599
2.89;0.000604036;-0.00012345;-0.000637794
2.895;-0.000106662;-0.001227559;-0.001191748
2.9;-0.001359572;-0.00244534;-0.001739339
2.905;-0.00245159;-0.003061846;-0.001917664
2.91;-0.002828509;-0.002756001;-0.001483922
2.915;-0.002512819;-0.001550792;-0.000528521
2.92;-0.001609082;0.000118761;0.000459634
2.925;-0.000156944;0.001524996;0.000858247
2.93;0.001076239;0.00212022;0.000356299
2.935;0.001450254;0.001696376;-0.000729555
