T[s];NS[cm/s2];EO[cm/s2];V[cm/s2]
1.6;-0.005596141;-0.010225945;-0.005138741
1.605;-0.002867013;-0.010344741;-0.005865622
1.61;0.000151579;-0.01064;-0.008523916
1.615;0.002587469;-0.009612747;-0.011330162
1.62;0.003877528;-0.006333332;-0.011229859
1.625;0.003807471;-0.001895236;-0.007225932
1.63;0.00189352;0.000893665;-0.000625954
1.635;-0.00181407;0.000504715;0.006734646
1.64;-0.00557405;-0.001915914;0.012458042
1.645;-0.007134352;-0.004702786;0.01397113
1.65;-0.00560242;-0.007629038;0.010922156
1.655;-0.002123586;-0.011097357;0.005412568
1.66;0.00112405;-0.014859841;-0.000299288
1.665;0.00252762;-0.01773611;-0.004525463
1.67;0.001406049;-0.017839476;-0.005810351
1.675;-0.001669579;-0.013791157;-0.004001045
1.68;-0.004802622;-0.006371714;-0.000553834
1.685;-0.00629655;0.001457963;0.003181649
1.69;-0.005436494;0.006933645;0.006590844
1.695;-0.002476301;0.009372742;0.009068422
1.7;0.000984925;0.009155239;0.010221699
1.705;0.002888379;0.006678267;0.010362416
1.71;0.00213912;0.003330711;0.010109353
1.715;-0.000435914;0.001536921;0.009511588
1.72;-0.001812827;0.002275804;0.007688772
1.725;0.000895678;0.003633073;0.003854149
1.73;0.007278581;0.002980886;-0.001114528
1.735;0.013579956;-0.000113498;-0.004543071
1.74;0.015914909;-0.003717071;-0.004165306
1.745;0.013836672;-0.005764937;-0.000511813
1.75;0.01022915;-0.005718377;0.004077409
1.755;0.007743716;-0.004309244;0.008274566
1.76;0.006617376;-0.00256584;0.011767692
1.765;0.005527094;-0.000672938;0.013737008
1.77;0.003510622;0.001844387;0.013693894
1.775;0.000826849;0.00414662;0.012620704
1.78;-0.001554961;0.004475632;0.011379178
1.785;-0.002334444;0.00273761;0.009442623
1.79;-0.000743643;0.000150101;0.006397106
1.795;0.002225094;-0.002430716;0.003047634
1.8;0.004900367;-0.00436581;0.000363419
1.805;0.006631232;-0.005433452;-0.001293433
1.81;0.007287843;-0.00628818;-0.00134733
1.815;0.006446578;-0.007493841;0.001145444
1.82;0.003863576;-0.008983959;0.005486668
1.825;0.000360493;-0.010909103;0.008495926
1.83;-0.002516285;-0.013410239;0.007468311
1.835;-0.003920645;-0.015727702;0.002933984
1.84;-0.003812772;-0.017136034;-0.002385358
1.845;-0.002739199;-0.017604593;-0.006076895
1.85;-0.002285538;-0.016793816;-0.007411689
1.855;-0.003242977;-0.013449808;-0.007182454
1.86;-0.003823504;-0.006494308;-0.006379091
1.865;-0.002044053;0.002882554;-0.005150259
1.87;0.001636205;0.011310027;-0.002954089
1.875;0.005068457;0.015622309;0.000521827
1.88;0.006559238;0.014901429;0.004775467
1.885;0.006144566;0.011155785;0.008741274
1.89;0.005214458;0.007222421;0.011309839
1.895;0.005090339;0.00438292;0.011822176
1.9;0.005823505;0.003121977;0.010161477
1.905;0.00630617;0.003790188;0.006716345
1.91;0.005769348;0.005542942;0.002648
1.915;0.004513715;0.006515168;-0.000713386
1.92;0.003163607;0.005320828;-0.002905834
1.925;0.002242493;0.001940884;-0.004103337
1.93;0.002016201;-0.002428974;-0.004376827
1.935;0.002104577;-0.005894846;-0.003712508
1.94;0.001666418;-0.006486773;-0.002319224
1.945;0.000219162;-0.003649026;-0.00047012
1.95;-0.001752006;0.000912468;0.001373682
1.955;-0.00350208;0.005091425;0.002228475
1.96;-0.005021046;0.007855087;0.001654186
1.965;-0.006307113;0.008340815;0.000333541
1.97;-0.006545762;0.006230138;-0.001445105
1.975;-0.004947217;0.003265515;-0.004004045
1.98;-0.001692555;0.001366716;-0.006885239
1.985;0.002087223;-0.000123762;-0.009005461
1.99;0.004889664;-0.002413872;-0.009990989
1.995;0.00590698;-0.00471734;-0.010794913
2;0.005791981;-0.00598447;-0.012621285
2.005;0.005544511;-0.006095082;-0.015229046
2.01;0.004883829;-0.004958084;-0.017137134
2.015;0.002995182;-0.002676617;-0.017283495
2.02;0.000074722;0.000086766;-0.016092488
2.025;-0.003320545;0.001840669;-0.014637621
2.03;-0.007030812;0.000826473;-0.0127049
2.035;-0.010209955;-0.00282766;-0.009689158
2.04;-0.011749828;-0.007264808;-0.006988588
2.045;-0.012077288;-0.010843527;-0.006592076
2.05;-0.012182661;-0.012607837;-0.008246476
2.055;-0.012075673;-0.012492864;-0.00958856
2.06;-0.011448567;-0.010863113;-0.008467396
2.065;-0.010217952;-0.007767419;-0.005065113
2.07;-0.008447019;-0.004035102;-0.001408585
2.075;-0.006441742;-0.001461429;0.000825712
2.08;-0.004793039;-0.000564159;0.001147688
2.085;-0.004216146;0.000165264;-0.000108415
2.09;-0.004913911;0.002355536;-0.002394952
2.095;-0.006451379;0.005956172;-0.005366809
2.1;-0.008122741;0.009118994;-0.008393378
2.105;-0.00869344;0.009896859;-0.010188454
2.11;-0.006964688;0.008004097;-0.009575514
2.115;-0.003188117;0.004642969;-0.006457968
2.12;0.000995552;0.001144356;-0.00200227
2.125;0.003971651;-0.00172074;0.001858524
2.13;0.005441751;-0.003173165;0.003477721
2.135;0.006101901;-0.002605755;0.002717105
2.14;0.005757497;-0.000929636;0.000768511
2.145;0.002942957;-0.000088646;-0.001250452
2.15;-0.003141057;-0.000745724;-0.002586908
2.155;-0.010920093;-0.001086886;-0.00222799
2.16;-0.016756651;0.001438703;0.000412429
2.165;-0.017545517;0.006873809;0.00414829
2.17;-0.0133722;0.012252004;0.006784772
2.175;-0.007590524;0.014209994;0.007327635
2.18;-0.004309147;0.0113443;0.006558048
2.185;-0.005065243;0.00514882;0.005932221
2.19;-0.008023885;-0.000965086;0.006095313
2.195;-0.010307453;-0.004343205;0.006195764
2.2;-0.00993179;-0.004781535;0.005377544
2.205;-0.006812078;-0.003818097;0.00414604
2.21;-0.003371432;-0.002949956;0.003374819
2.215;-0.002904154;-0.002660218;0.003430552
2.22;-0.006627499;-0.002661818;0.004263132
2.225;-0.012220842;-0.002553733;0.004888247
2.23;-0.01529288;-0.002521458;0.003707605
