T[s];NS[cm/s2];EO[cm/s2];V[cm/s2]
2.375;-1.481135407;-1.983467878;-8.377082781
2.380;-2.916860759;0.434215238;-9.730663987
2.385;-3.890056779;3.088206642;-9.315469105
2.390;-4.368085773;5.698647794;-6.877719012
2.395;-4.473507383;8.036011178;-2.793820687
2.400;-4.454594492;9.937980277;1.991181194
2.405;-4.607396744;11.31229595;6.293588584
2.410;-5.176369586;12.14046308;9.145551904
2.415;-6.267679362;12.47212116;10.1569206
2.420;-7.816333642;12.3978863;9.612063033
2.425;-9.622980447;12.01312212;8.268298309
2.430;-11.42913624;11.39483909;6.971364431
2.435;-12.98979183;10.60420836;6.301514569
2.440;-14.1295236;9.70560413;6.4460715
2.445;-14.77653454;8.776921687;7.323594468
2.450;-14.95891763;7.898104879;8.781997752
2.455;-14.76131275;7.132113243;10.65849708
2.460;-14.26305;6.51340815;12.65291864
2.465;-13.48654733;6.04161009;14.16824584
2.470;-12.38674498;5.681988301;14.34981646
2.475;-10.89051407;5.380596011;12.43495082
2.480;-8.954795859;5.094241307;8.265499975
2.485;-6.607753354;4.8246369;2.614905894
2.490;-3.96213511;4.629213314;-2.966989405
2.495;-1.202181078;4.588189318;-6.788790934
2.500;1.453117913;4.743523609;-7.794241379
2.505;3.799462661;5.044618508;-6.021365583
2.510;5.689726968;5.336643546;-2.482786237
2.515;7.05413683;5.405220892;1.414170238
2.520;7.890586788;5.049517627;4.523660512
2.525;8.228150373;4.150783942;6.33848825
2.530;8.085514483;2.717788659;6.968523759
2.535;7.448625121;0.895478595;6.839180676
2.540;6.279872463;-1.059827189;6.335618813
2.545;4.556869395;-2.828442116;5.58161598
2.550;2.314622558;-4.096290041;4.4307269
2.555;-0.334368521;-4.6392667;2.63565909
2.560;-3.19852481;-4.400952424;0.096732906
2.565;-6.016323267;-3.523197518;-2.92508486
2.570;-8.476468592;-2.295358714;-5.743911533
2.575;-10.25689205;-1.035271411;-7.417161139
2.580;-11.09750359;0.038194697;-7.122767845
2.585;-10.89331694;0.877929758;-4.577312037
2.590;-9.761937859;1.594408543;-0.267420475
2.595;-8.038234616;2.372225924;4.642980322
2.600;-6.177506043;3.368232918;8.687539372
2.605;-4.605948492;4.634826138;10.57566711
2.610;-3.587316083;6.087686632;9.579543281
2.615;-3.158340108;7.51793622;5.711802443
2.620;-3.153473122;8.645130691;-0.326751248
2.625;-3.292765201;9.196327947;-7.37751431
2.630;-3.284351067;8.988303563;-14.13135435
2.635;-2.912726573;7.989248825;-19.39212996
2.640;-2.094120463;6.321807354;-22.2325854
2.645;-0.881549789;4.198115795;-22.08436262
2.650;0.579164342;1.829980762;-18.8369073
2.655;2.121989236;-0.633420872;-12.93332961
2.660;3.627636251;-3.114153725;-5.351973468
2.665;5.049964497;-5.571931544;2.615604806
2.670;6.393597578;-7.950863711;9.729126152
2.675;7.666965393;-10.13313587;15.10252562
2.680;8.845669302;-11.93419062;18.26503541
2.685;9.860735974;-13.1524807;18.99789442
2.690;10.60528178;-13.65841445;17.15435638
2.695;10.96006974;-13.47877057;12.66706223
2.700;10.84150489;-12.81321365;5.757540058
2.705;10.25263442;-11.95766037;-2.827882063
2.710;9.298692283;-11.18323841;-11.7686531
2.715;8.147459995;-10.64439418;-19.40352011
2.720;6.952686354;-10.35254516;-24.17674627
2.725;5.782108076;-10.20282395;-25.12557928
2.730;4.596125197;-10.01844514;-22.23554837
2.735;3.287208982;-9.59928877;-16.52688211
2.740;1.744079194;-8.782427745;-9.785064461
2.745;-0.087317025;-7.506157858;-3.965054245
2.750;-2.156352199;-5.84934148;-0.470724582
2.755;-4.29168634;-4.012413572;0.37869591
2.760;-6.229289531;-2.238963192;-0.577291612
2.765;-7.679748112;-0.726606506;-1.800411965
2.770;-8.415849881;0.423028249;-1.840638525
2.775;-8.349845467;1.195191911;-0.05293481
2.780;-7.564332725;1.606571609;3.11308532
2.785;-6.274903506;1.645681147;6.369296402
2.790;-4.740838102;1.250660863;8.229663502
2.795;-3.167075504;0.340219089;7.701966708
2.800;-1.640894164;-1.114311262;4.708771612
2.805;-0.135797044;-3.009526868;0.085077359
2.810;1.4175711;-5.068232949;-4.792512071
2.815;3.036944962;-6.863922161;-8.551796479
2.820;4.623095122;-7.909988273;-10.30034747
2.825;5.951854262;-7.794222708;-9.823666472
2.830;6.726789722;-6.313450418;-7.458670047
2.835;6.678277896;-3.556262043;-3.803033843
2.840;5.67684772;0.093420885;0.506542379
2.845;3.811310342;4.042538498;4.852375372
2.850;1.383032725;7.64562186;8.631917504
2.855;-1.194591423;10.37883165;11.34622161
2.860;-3.544218196;11.97745014;12.79873342
2.865;-5.442503189;12.49331557;13.24654033
2.870;-6.857645222;12.24704885;13.32900628
2.875;-7.908885071;11.68592109;13.77113295
2.880;-8.77896927;11.19567191;15.04492219
2.885;-9.612588506;10.94454578;17.1917524
2.890;-10.42788623;10.83751877;19.86753287
2.895;-11.07236109;10.59775078;22.51937056
2.900;-11.25743281;9.915219916;24.5624534
2.905;-10.67358394;8.579323827;25.493854
2.910;-9.136594505;6.545058104;24.95512779
2.915;-6.686536999;3.938548189;22.76596631
2.920;-3.584654357;1.031282927;18.92629034
2.925;-0.224507861;-1.808655165;13.59393756
2.930;2.979235826;-4.191185266;7.083423187
2.935;5.676998809;-5.796205546;-0.078494462
2.940;7.635333106;-6.453457236;-7.085602316
2.945;8.762732336;-6.173761404;-12.89562967
2.950;9.113864062;-5.123908611;-16.4785792
